"","timestamp","open","high","low","close","volume"
"852",2016-03-04,31.61,33.06,31.34,32.55,34579785
"853",2016-03-11,32.37,32.59,31.04,32.22,32306366
"854",2016-03-18,32.07,34.25,31.57,33.81,41984117
"855",2016-03-24,33.51,34.68,33.15,34.48,31343830
"856",2016-04-01,34.42,36.25,34.38,36.15,40801811
"857",2016-04-08,36.45,36.64,34.63,35.66,45523162
"858",2016-04-15,35.87,37.46,35.14,37.13,47113440
"859",2016-04-22,37.06,37.18,36.08,36.27,30461783
"860",2016-04-29,36.28,37.33,35.14,35.53,36551100
"861",2016-05-06,35.87,36.22,34.4,35.33,35899683
"862",2016-05-13,35.42,41,34.93,40.98,92799718
"863",2016-05-20,40.67,44.51,40.54,44.33,73311387
"864",2016-05-27,44.52,45.98,44.13,45.9,46889479
"865",2016-06-03,46.1,47.54,45.66,46.48,39748464
"866",2016-06-10,46.6,47.45,45.8,46.2,40568048
"867",2016-06-17,46.25,47.77,46.155,46.72,44810657
"868",2016-06-24,47.47,48.54,45.3,45.73,50611512
"869",2016-07-01,45.35,47.36,44.57,46.66,45015404
"870",2016-07-08,46.4,51.091,46.03,50.85,38037920
"871",2016-07-15,51.58,53.8,51.52,52.7,48891252
"872",2016-07-22,53.35,54.67,52.77,54.67,40229452
"873",2016-07-29,55,57.25,54.76,57.1,47630434
"874",2016-08-05,57.34,58.23,55.5,58.2,38199937
"875",2016-08-12,59,63.38,58.12,63.04,78998813
"876",2016-08-19,63.11,63.4964,60.655,62.26,51985339
"877",2016-08-26,62.45,63.32,60.76,62.03,39725392
"878",2016-09-02,62.28,63.38,61.16,62.53,42509590
"879",2016-09-09,62.75,63.2285,59,59.52,42959205
"880",2016-09-16,58.73,63.25,57.315,62.84,70180981
"881",2016-09-23,63.5,65.44,62.74,64.95,41733007
"882",2016-09-30,64.21,69.19,63.53,68.52,42979945
"883",2016-10-07,68.52,69.7,66.26,66.85,36903326
"884",2016-10-14,67.2,67.56,63.7,65.99,45427130
"885",2016-10-21,65.98,67.95,65.52,67.54,31383622
"886",2016-10-28,68,72.95,67.99,70.56,43765255
"887",2016-11-04,70.79,71.81,66.575,67.57,41497661
"888",2016-11-11,69.55,88.77,66.76,87.97,110465557
"889",2016-11-18,88.09,94.7923,83.62,93.36,109298058
"890",2016-11-25,94.09,95.2499,92.38,94.16,35140035
"891",2016-12-02,93.87,94.74,84.77,88.45,66940476
"892",2016-12-09,89.99,96.62,89,91.82,58643494
"893",2016-12-16,89.85,100.7,87.54,100.41,95229548
"894",2016-12-23,99.7,109.835,99,109.78,88378815
"895",2016-12-30,112.06,119.93,102.8,106.74,171958399
"896",2017-01-06,104.4,106.37,99.38,103.1,112709180
"897",2017-01-13,103.5,109.19,101.62,103.43,85156739
"898",2017-01-20,103,106.8,99.11,104.01,59298209
"899",2017-01-27,103.8,111.89,103.7,111.77,56303308
"900",2017-02-03,110.92,115.9,107.9106,114.38,57618704
"901",2017-02-10,114,120.92,112.6,113.62,104905778
"902",2017-02-17,113.39,113.98,104.79,107.23,90382221
"903",2017-02-24,108.23,111.8,95.7,101.46,90212849
"904",2017-03-03,102.2,105.2,96.22,98.43,86633828
"905",2017-03-10,96.96,101.3,95.17,99.12,77586982
"906",2017-03-17,99.54,106.12,99.51,106.07,88849333
"907",2017-03-24,106.78,109.96,105.3,107.47,81306449
"908",2017-03-31,105.58,110,103.575,108.93,56385514
"909",2017-04-07,108.95,109.65,98.41,100.33,88095942
"910",2017-04-13,100.36,100.63,95.49,95.49,57386652
"911",2017-04-21,96.01,101.79,95.8,101.68,49853656
"912",2017-04-28,102.96,105.98,102.11,104.3,43465418
"913",2017-05-05,104.74,106.85,102.56,103.86,42355366
"914",2017-05-12,104.34,130.43,102.31,127.89,148225683
"915",2017-05-19,129.56,138.22,127.05,136,140158723
"916",2017-05-26,137.77,145.28,135.71,141.84,92439688
"917",2017-06-02,143.7,147,142.05,143.64,70826837
"918",2017-06-09,142.98,168.5,142.51,149.6,174910930
"919",2017-06-16,145.88,154.77,142.11,151.62,159150839
"920",2017-06-23,153.41,161.74,153.22,153.83,99537344
"921",2017-06-30,155.16,156.6,143.5,144.56,120256299
"922",2017-07-07,145.05,147.5,138.58,146.76,72590297
"923",2017-07-14,149.74,166.3,148.6842,164.95,128221300
"924",2017-07-21,166.33,169.3,161.3,168.1,92217943
"925",2017-07-28,168.39,169.927,157.56,164.39,75291789
"926",2017-08-04,164.94,170.07,160.62,167.21,61552325
"927",2017-08-11,168.39,174.56,152.91,155.96,112774691
"928",2017-08-18,159.67,169.67,159.2,161.5,93264035
"929",2017-08-25,162.49,167.28,157.37,163.81,61055553
